Aceite Vegetal Fortificado 902g,100000000000,Snacks,2026-05-09,Danone,87.53,325
Mantequilla Extra 328g,100000000001,Bebidas,2028-04-20,Kellogg's,ab,946
Cereal de Maíz Extra 885g,100000000002,Granos,2027-01-25,Coca-Cola,359.93,489
Aceite Vegetal Extra 732g,100000000003,Enlatados,2026-05-15,Heinz,63.95,933
Queso Mozzarella Premium 299g,100000000004,Bebidas,2026-02-14,Heinz,461.21,869
Azúcar Morena Extra 940g,100000000005,Enlatados,2027-01-06,Coca-Cola,46.12,140
Chocolate en Barra Light 796g,100000000006,Lácteos,2026-10-23,Nescafé,65.91,636
Mantequilla Fortificado 591g,100000000007,Lácteos,2027-01-06,Bimbo,fdss,893
Leche Entera Clásico 943g,100000000008,Bebidas,2026-07-07,Quaker,410.04,895
Azúcar Morena Extra 767g,100000000008,Lácteos,2028-01-20,Pepsi,95.85,437
Cereal de Maíz Premium 405g,100000000010,Alimentos,2028-06-13,Maggi,90.67,525
Pan Integral Fortificado 293g,100000000011,Granos,2026-02-04,Colgate,250.59,549
Cereal de Maíz Orgánico 786g,100000000012,Panadería,2026-03-15,Coca-Cola,308.02,844
Cereal de Maíz Extra 509g,100000000013,Bebidas,2027-05-05,Del Monte,40.2,648
Salsa de Tomate Clásico 872g,100000000014,Enlatados,02-01-2027,Pepsi,314.18,861
Arroz Integral Premium 766g,100000000015,Alimentos,2026-12-27,Maggi,309.01,6
Café Molido Extra 436g,100000000001,Lácteos,2027-02-24,Corona,6.12,726
Azúcar Morena Fortificado 614g,100000000017,Snacks,2026-07-02,Heinz,137.82,868
Galletas de Chocolate Fortificado 469g,100000000018,Alimentos,2027-12-07,La Costeña,17.83,766
Pan Integral Fortificado 541g,100000000019,Enlatados,2026-12-25,Kellogg's,435.69,903
Salsa de Tomate Light 774g,100000000020,Alimentos,2027-08-22,Heinz,450,816
Salsa de Tomate Premium 696g,100000000021,Enlatados,06-21-2026,Coca-Cola,39.4,560
Aceite Vegetal Premium 897g,100000000022,Granos,2027-09-18,Danone,196.04,494
Refresco Cola Clásico 239g,100000000023,Panadería,2027-09-29,Maggi,6.27,674
Cereal de Maíz Premium 335g,100000000024,Enlatados,2027-08-13,Danone,284.66,576
Pasta Espagueti Clásico 812g,100000000025,Granos,2027-01-15,Kellogg's,465.45,317
Yogur Natural Familiar 285g,100000000026,Enlatados,2028-05-26,Heinz,345.46,136
Refresco Cola Familiar 510g,100000000027,Panadería,2026-10-13,Maggi,464.11,421
Azúcar Morena Familiar 996g,100000000027,Alimentos,2026-08-22,La Costeña,145.09,945
Mantequilla Extra 967g,100000000029,Enlatados,13-2028-05,Great Value,460.58,962
Yogur Natural Familiar 201g,100000000030,Alimentos,2027-02-26,Quaker,319.85,juan
Refresco Cola Fortificado 258g,100000000031,Panadería,2026-08-27,Maggi,177.15,770
Atún en Lata Familiar 683g,100000000032,Panadería,2027-10-27,Nescafé,456.76,991
Mantequilla Familiar 585g,100000000034,Bebidas,2027-10-28,Pepsi,34.04,485
Refresco Cola Premium 772g,100000000034,Granos,2028-04-16,Pepsi,37.5,927
Refresco Cola Premium 383g,100000000035,Alimentos,2028-02-05,Coca-Cola,322.13,475
Aceite Vegetal Fortificado 869g,100000000036,Enlatados,2027-08-05,Pepsi,229.77,873
Pan Integral Fortificado 816g,100000000037,Snacks,2027-06-18,Coca-Cola,70.38,696
Galletas de Chocolate Familiar 936g,100000000039,Snacks,2027-09-27,Great Value,246.25,399
Salsa de Tomate Fortificado 855g,100000000039,Panadería,2027-03-30,Pepsi,323.31,242
Chocolate en Barra Premium 540g,100000000040,Panadería,2027-07-20,Heinz,337.85,658
Azúcar Morena Clásico 952g,100000000041,Panadería,2026-04-07,Del Monte,105.63,pedro
Pasta Espagueti Premium 897g,100000000042,Lácteos,2026-09-01,Danone,122.22,826
Yogur Natural Orgánico 317g,100000000043,Snacks,2027-03-26,Colgate,438.31,627
Frijol Negro Extra 786g,100000000044,Granos,2026-07-09,Quaker,430.56,476
Salsa de Tomate Clásico 777g,100000000045,Alimentos,2026-12-25,Kellogg's,pp,867
Atún en Lata Fortificado 225g,100000000046,Bebidas,2028-05-21,Nestlé,10.49,747
Arroz Integral Clásico 624g,100000000047,Snacks,2026-03-26,Colgate,445,562
Queso Mozzarella Fortificado 565g,100000000048,Panadería,2027-11-04,Danone,409.52,408
Refresco Cola Extra 307g,100000000049,Snacks,2026-07-25,Corona,285.21,906
Mantequilla Light 781g,100000000050,Alimentos,2027-02-13,Heinz,239.84,269
Atún en Lata Orgánico 626g,100000000051,Snacks,03-07-2027,Nestlé,461.43,6
Cereal de Maíz Clásico 907g,100000000052,Lácteos,2027-04-07,Pepsi,192.15,484
Leche Entera Familiar 726g,100000000053,Alimentos,2027-03-17,Nescafé,144.24,297
Queso Mozzarella Light 474g,100000000054,Enlatados,2026-05-23,Heinz,354.61,654
Cereal de Maíz Familiar 420g,100000000055,Alimentos,2026-12-27,Coca-Cola,409,1000
Café Molido Fortificado 237g,100000000057,Panadería,2027-04-07,Great Value,440.01,653
Yogur Natural Premium 450g,100000000057,Snacks,2026-04-03,Colgate,476.92,934
Huevos Grandes Premium 795g,100000000058,Bebidas,2027-07-30,Great Value,21.4,52
Frijol Negro Extra 898g,100000000059,Enlatados,2027-08-08,Colgate,92.32,528
Atún en Lata Clásico 835g,100000000060,Alimentos,2028-03-21,La Costeña,29.18,523
Jugo de Naranja Fortificado 988g,100000000061,Enlatados,2027-05-04,Bimbo,357.55,39
Arroz Integral Familiar 717g,100000000062,Panadería,2027-07-22,Coca-Cola,213.1,130
Aceite Vegetal Extra 233g,100000000073,Enlatados,2028-03-15,La Costeña,169.04,855
Frijol Negro Light 820g,100000000064,Lácteos,2026-02-26,Colgate,393.75,228
Arroz Integral Fortificado 401g,100000000075,Bebidas,2027-10-21,Colgate,86.41,230
Galletas de Chocolate Extra 770g,100000000066,Bebidas,2026-11-01,Maggi,61.53,708
Frijol Negro Light 263g,100000000067,Panadería,2026-11-22,La Costeña,413.84,355
Frijol Negro Extra 548g,100000000068,Alimentos,2027-02-12,Del Monte,8.62,43
Queso Mozzarella Premium 338g,100000000069,Panadería,2028-04-07,Maggi,21.63,801
Frijol Negro Fortificado 632g,100000000070,Panadería,2026-09-20,Coca-Cola,353.6,266
Jugo de Naranja Orgánico 460g,100000000071,Lácteos,2027-05-16,Coca-Cola,310.96,484
Salsa de Tomate Extra 550g,100000000072,Enlatados,2027-05-31,Corona,365.78,682
Cereal de Maíz Premium 578g,100000000073,Alimentos,2026-10-07,Maggi,140.39,49
Aceite Vegetal Light 421g,100000000074,Enlatados,2026-04-13,Quaker,148.9,618
Yogur Natural Extra 605g,100000000076,Alimentos,2026-03-08,Coca-Cola,152.91,71
Huevos Grandes Fortificado 358g,100000000076,Granos,2027-05-25,Bimbo,200.63,728
Atún en Lata Orgánico 813g,100000000077,Lácteos,2027-08-10,Colgate,481.07,888
Frijol Negro Extra 511g,100000000078,Panadería,2027-09-26,Danone,439.77,42
Cereal de Maíz Premium 810g,100000000079,Panadería,2026-10-18,La Costeña,428.27,339
Chocolate en Barra Extra 738g,100000000080,Lácteos,2027-09-16,Nestlé,20.07,107
Cereal de Maíz Orgánico 786g,100000000081,Snacks,2027-08-04,Pepsi,312.51,44
Café Molido Fortificado 268g,100000000082,Bebidas,2026-07-11,Del Monte,65.07,365
Refresco Cola Fortificado 882g,100000000083,Alimentos,2026-07-26,Great Value,184.81,882
Pasta Espagueti Premium 233g,100000000084,Enlatados,2028-02-26,Del Monte,43.83,937
Pan Integral Clásico 340g,100000000085,Panadería,2027-09-19,Del Monte,436.57,309
Cereal de Maíz Clásico 970g,100000000086,Alimentos,2026-12-01,Danone,45.6,628
Aceite Vegetal Orgánico 786g,100000000087,Panadería,2026-12-01,Quaker,363.38,906
Leche Entera Familiar 450g,100000000088,Panadería,20-11-2026,Nescafé,145.43,899
Pan Integral Clásico 818g,100000000089,Enlatados,2028-02-06,Pepsi,266.21,416
Frijol Negro Light 904g,100000000090,Enlatados,2027-05-03,Colgate,408.01,805
Frijol Negro Light 769g,100000000091,Bebidas,2027-07-04,Corona,84.24,19
Queso Mozzarella Orgánico 593g,100000000082,Enlatados,2026-04-13,Quaker,66.91,199.6
Queso Mozzarella Extra 663g,100000000093,Snacks,2028-05-17,La Costeña,85.83,925
Galletas de Chocolate Clásico 344g,100000000094,Panadería,2027-02-04,Colgate,357.15,912
Pasta Espagueti Extra 233g,100000000095,Granos,2028-04-10,Coca-Cola,378.31,406
Frijol Negro Extra 486g,100000000096,Enlatados,2027-09-04,Bimbo,121.69,36
Queso Mozzarella Orgánico 736g,100000000097,Granos,2027-05-05,Del Monte,464.96,116
Chocolate en Barra Fortificado 304g,100000000098,Granos,2028-06-06,Kellogg's,462.14,208
Leche Entera Premium 213g,100000000099,Lácteos,2027-06-18,Nescafé,107.02,603
Arroz Integral Premium 512g,100000000100,Enlatados,2026-04-03,Maggi,498.03,341.6
Jugo de Naranja Familiar 880g,100000000101,Lácteos,2026-07-15,Great Value,336.27,352
Mantequilla Clásico 743g,100000000102,Lácteos,2026-06-18,Great Value,372.37,421
Cereal de Maíz Orgánico 876g,100000000103,Snacks,2026-08-24,Nestlé,360.68,782
Chocolate en Barra Clásico 502g,100000000104,Bebidas,2026-12-09,Corona,265.45,579
Arroz Integral Familiar 885g,100000000105,Panadería,2026-03-19,La Costeña,365.16,108
Pan Integral Familiar 878g,100000000106,Granos,2028-02-18,La Costeña,152.87,594
Queso Mozzarella Orgánico 211g,100000000107,Panadería,2027-03-02,Heinz,49.24,281
Huevos Grandes Light 330g,100000000108,Lácteos,2027-01-19,Danone,396.85,434
Yogur Natural Fortificado 389g,100000000109,Granos,2026-05-26,La Costeña,72.26,343
Atún en Lata Orgánico 567g,100000000110,Snacks,2027-03-19,Maggi,82.47,257
Pan Integral Extra 779g,100000000111,Alimentos,2026-04-07,Del Monte,38.95,323
Chocolate en Barra Fortificado 848g,100000000112,Granos,2027-02-23,Great Value,192.32,131
Pan Integral Fortificado 621g,100000000113,Bebidas,2027-04-11,Nestlé,264.99,284
Cereal de Maíz Familiar 863g,100000000114,Lácteos,2027-05-04,Colgate,189.97,578
Aceite Vegetal Clásico 634g,100000000115,Alimentos,2026-06-12,Coca-Cola,264.42,653
Refresco Cola Premium 985g,100000000116,Bebidas,2028-04-27,Great Value,167.2,159
Galletas de Chocolate Extra 397g,100000000117,Snacks,2028-05-03,Del Monte,399.6,55
Leche Entera Orgánico 645g,100000000118,Panadería,2027-02-26,Coca-Cola,266.84,73
Frijol Negro Fortificado 981g,100000000119,Alimentos,2028-04-08,Danone,344.33,179.5
Salsa de Tomate Extra 903g,100000000120,Panadería,2027-07-21,Quaker,393.86,394
Huevos Grandes Fortificado 265g,100000000111,Lácteos,2027-03-20,Great Value,6.14,659
Arroz Integral Light 230g,100000000122,Lácteos,2026-08-08,Great Value,203.2,838
Atún en Lata Clásico 560g,100000000123,Lácteos,2027-10-27,Del Monte,81.83,953
Aceite Vegetal Fortificado 363g,100000000124,Lácteos,2026-05-02,La Costeña,276.14,399
Chocolate en Barra Clásico 704g,100000000125,Enlatados,20-12-2027,Heinz,94.41,832
Mantequilla Extra 784g,100000000126,Alimentos,2028-04-11,Corona,437.76,518
Harina de Trigo Fortificado 402g,100000000127,Lácteos,2027-05-06,Kellogg's,192.73,754
Mantequilla Extra 965g,100000000128,Alimentos,2027-08-21,Danone,231.75,162
Yogur Natural Premium 241g,100000000129,Enlatados,2027-01-29,Corona,403.3,497
Arroz Integral Orgánico 889g,100000000130,Granos,2028-02-20,Coca-Cola,427.34,44
Azúcar Morena Clásico 702g,100000000131,Panadería,2027-10-07,Colgate,481.35,992
Aceite Vegetal Orgánico 723g,100000000132,Lácteos,2027-05-05,Colgate,97.25,19
Azúcar Morena Light 791g,100000000133,Snacks,2026-09-16,Danone,69.87,548
Azúcar Morena Extra 203g,100000000134,Granos,2028-05-16,Corona,489.18,661
Cereal de Maíz Orgánico 642g,100000000135,Granos,2027-10-16,Corona,298.79,862
Yogur Natural Extra 440g,100000000136,Granos,2027-10-08,Maggi,197.13,82
Pan Integral Fortificado 297g,100000000117,Enlatados,2026-08-12,Danone,214.85,558
Queso Mozzarella Fortificado 512g,100000000138,Alimentos,2026-07-24,Bimbo,16.8,377
Salsa de Tomate Clásico 990g,100000000139,Bebidas,2027-12-27,Nestlé,328.56,455
Huevos Grandes Fortificado 569g,100000000140,Lácteos,2028-06-05,Del Monte,342.87,807
Refresco Cola Clásico 613g,100000000141,Bebidas,2027-10-28,Corona,346.4,327
Café Molido Extra 642g,100000000142,Lácteos,2026-06-13,Maggi,295.95,999
Huevos Grandes Light 901g,100000000143,Panadería,2027-02-12,Coca-Cola,362.51,802
Huevos Grandes Light 450g,100000000144,Enlatados,2027-10-14,Quaker,430.95,503
Huevos Grandes Premium 964g,100000000145,Lácteos,2027-13-07,Pepsi,41.83,849
Jugo de Naranja Familiar 682g,100000000146,Lácteos,2027-07-29,Del Monte,124.7,533
Refresco Cola Extra 665g,100000000147,Snacks,2028-02-17,Quaker,463.11,613
Pasta Espagueti Premium 494g,100000000148,Lácteos,2027-09-17,Heinz,389.14,73
Aceite Vegetal Extra 675g,100000000149,Snacks,2028-05-01,Nestlé,379.78,608
Aceite Vegetal Premium 562g,100000000150,Alimentos,2027-12-30,Great Value,355.7,718
Galletas de Chocolate Clásico 631g,100000000151,Granos,2026-11-12,Danone,258.53,534
Refresco Cola Fortificado 441g,100000000152,Bebidas,2028-05-09,Bimbo,19.44,916
Huevos Grandes Orgánico 457g,100000000153,Panadería,2026-03-29,Nestlé,333.89,366
Galletas de Chocolate Fortificado 549g,100000000154,Enlatados,2027-06-27,La Costeña,482.54,891
Mantequilla Light 995g,100000000155,Lácteos,2027-06-11,Great Value,22.31,134
Refresco Cola Orgánico 710g,100000000156,Enlatados,2026-02-09,Corona,473.32,881
Pasta Espagueti Familiar 678g,100000000157,Snacks,2028-04-16,Pepsi,188.36,87
Pan Integral Premium 408g,100000000158,Lácteos,2026-06-02,Coca-Cola,264.41,588
Harina de Trigo Orgánico 688g,100000000159,Snacks,2026-05-11,Nestlé,303.65,16
Café Molido Orgánico 839g,100000000160,Lácteos,2026-06-02,Corona,84.04,685
Azúcar Morena Extra 919g,100000000161,Enlatados,2027-09-10,Maggi,24.88,764
Huevos Grandes Light 884g,100000000162,Enlatados,2026-10-24,Bimbo,153,1.49
Mantequilla Orgánico 722g,100000000163,Granos,2028-01-22,Kellogg's,309.04,675
Aceite Vegetal Clásico 863g,100000000164,Bebidas,2028-01-04,Pepsi,74.82,971
Arroz Integral Clásico 576g,100000000165,Bebidas,2026-03-19,Danone,228.55,521
Atún en Lata Premium 420g,100000000156,Panadería,2028-05-18,Nescafé,486.58,590
Arroz Integral Extra 930g,100000000167,Snacks,2026-12-18,La Costeña,273.28,458
Mantequilla Light 760g,100000000168,Enlatados,2026-08-21,Bimbo,73.46,133
Arroz Integral Fortificado 510g,100000000169,Snacks,2027-03-06,Great Value,283.79,790
Chocolate en Barra Clásico 740g,100000000170,Granos,2028-06-08,Corona,105.4,935
Leche Entera Light 618g,100000000171,Alimentos,2027-10-16,Pepsi,390.8,797
Leche Entera Extra 980g,100000000172,Bebidas,2027-10-07,Quaker,363.68,287
Refresco Cola Fortificado 501g,100000000173,Snacks,2028-02-17,Nescafé,423.27,229
Harina de Trigo Premium 634g,100000000174,Enlatados,2027-04-26,Quaker,155.33,987
Azúcar Morena Familiar 653g,100000000175,Lácteos,2026-06-19,La Costeña,309.02,618
Salsa de Tomate Premium 717g,100000000176,Alimentos,2027-11-29,Great Value,ab,361
Chocolate en Barra Extra 821g,100000000177,Panadería,2028-05-31,Kellogg's,130.51,117
Arroz Integral Orgánico 859g,100000000178,Granos,2027-05-06,Bimbo,322.04,269
Azúcar Morena Premium 533g,100000000179,Panadería,2027-12-06,Del Monte,58.49,875
Cereal de Maíz Familiar 974g,100000000180,Alimentos,2027-08-14,Corona,227.13,617
Mantequilla Orgánico 914g,100000000181,Lácteos,2027-08-17,Heinz,208.35,152
Pan Integral Light 671g,100000000192,Snacks,2026-12-06,Nescafé,163.57,535
Chocolate en Barra Premium 327g,100000000183,Alimentos,2027-05-03,Colgate,201.27,553
Harina de Trigo Fortificado 286g,100000000184,Bebidas,2027-04-02,Del Monte,123.54,446
Leche Entera Extra 547g,100000000185,Bebidas,2026-07-14,Maggi,171.62,77
Salsa de Tomate Premium 717g,100000000186,Panadería,2027-09-28,Pepsi,242.73,219
Arroz Integral Clásico 203g,100000000187,Granos,2027-09-03,Coca-Cola,156.71,127
Huevos Grandes Clásico 757g,100000000188,Granos,2027-03-13,Bimbo,283.72,707
Jugo de Naranja Light 522g,100000000189,Granos,2027-10-09,Great Value,415.08,228
Galletas de Chocolate Fortificado 692g,100000000190,Bebidas,2027-09-30,Maggi,322.83,830
Queso Mozzarella Premium 551g,100000000191,Bebidas,2026-03-13,Pepsi,304.99,327
Huevos Grandes Orgánico 341g,100000000192,Granos,2027-03-12,Quaker,298.39,277
Aceite Vegetal Fortificado 425g,100000000193,Snacks,2026-10-23,La Costeña,339.61,497
Queso Mozzarella Extra 293g,100000000194,Panadería,2026-11-10,Quaker,193.98,123
Harina de Trigo Premium 508g,100000000185,Snacks,2026-05-09,Bimbo,456.5,579
Harina de Trigo Clásico 518g,100000000196,Lácteos,2026-03-27,Corona,46.38,45
Harina de Trigo Orgánico 857g,100000000197,Snacks,2027-08-21,Colgate,44.55,330
Yogur Natural Premium 358g,100000000198,Alimentos,2026-09-01,Pepsi,373.13,408
Aceite Vegetal Light 577g,100000000199,Lácteos,2027-08-12,Kellogg's,175.95,131
Mantequilla Extra 214g,100000000200,Bebidas,2027-10-22,La Costeña,86.56,257
Salsa de Tomate Extra 735g,100000000201,Panadería,2027-11-17,Nescafé,390.06,53
Cereal de Maíz Extra 904g,100000000202,Panadería,2027-10-08,Great Value,479.56,951
Cereal de Maíz Premium 558g,100000000203,Lácteos,2026-07-17,Del Monte,8.4,789
Yogur Natural Orgánico 719g,100000000204,Enlatados,2026-03-07,Maggi,332.15,435
Café Molido Clásico 332g,100000000205,Lácteos,2026-11-02,Del Monte,462.29,154
Atún en Lata Light 487g,100000000206,Panadería,2027-08-10,Corona,362.6,352
Yogur Natural Light 235g,100000000207,Granos,2027-06-21,Coca-Cola,400.64,229
Refresco Cola Extra 516g,100000000208,Granos,2027-12-14,Great Value,420.36,371
Refresco Cola Light 965g,100000000109,Lácteos,2028-03-22,Nescafé,112.81,721
Leche Entera Light 376g,100000000210,Snacks,2027-11-09,Corona,320.52,818
Atún en Lata Fortificado 585g,100000000211,Granos,2026-03-19,La Costeña,330.03,819
Aceite Vegetal Premium 641g,100000000212,Enlatados,2026-07-06,Heinz,457.29,819
Harina de Trigo Familiar 324g,100000000213,Snacks,2027-05-06,Kellogg's,97.13,860
Harina de Trigo Fortificado 468g,100000000214,Lácteos,2026-10-14,Bimbo,306.81,344
Yogur Natural Familiar 470g,100000000215,Bebidas,2027-09-22,Coca-Cola,105.81,291
Aceite Vegetal Premium 279g,100000000216,Enlatados,2028-04-22,Quaker,456.35,977
Chocolate en Barra Extra 938g,100000000217,Lácteos,2026-09-28,Great Value,323.8,360
Galletas de Chocolate Extra 275g,100000000218,Panadería,2026-11-28,Danone,455.57,548
Arroz Integral Fortificado 974g,100000000219,Snacks,2026-11-18,Pepsi,140.81,153
Cereal de Maíz Clásico 678g,100000000220,Enlatados,2028-06-11,Heinz,403.22,954
